target_id	length	eff_length	est_counts	tpm
ATCG00010.1	73	37.9801	1	448.812
ATCG00020.1	1062	1018.12	21	351.595
ATCG00030.1	72	37.3128	0	0
ATCG00040.1	1581	1537.12	1	11.0896
ATCG00050.1	240	196.118	0	0
ATCG00060.1	72	37.3128	0	0
ATCG00065.1	114	71.2511	0	0
ATCG00070.1	186	142.12	1	119.941
ATCG00080.1	111	68.4893	1	248.885
ATCG00090.1	88	48.8734	1	348.778
ATCG00100.1	72	37.3128	0	0
ATCG00110.1	72	37.3128	0	0
ATCG00120.1	1524	1480.12	1	11.5166
ATCG00130.1	555	511.118	1	33.3503
ATCG00140.1	246	202.118	1	84.3366
ATCG00150.1	750	706.118	0	0
ATCG00160.1	711	667.118	1	25.5516
ATCG00170.1	4131	4087.12	1	4.17065
ATCG00180.1	2043	1999.12	1	8.52674
ATCG00190.1	3219	3175.12	1	5.36861
ATCG00200.1	71	36.6528	0	0
ATCG00210.1	90	50.4487	0	0
ATCG00220.1	105	63.0857	4	1080.81
ATCG00230.1	74	38.6548	0	0
ATCG00240.1	84	45.8076	0	0
ATCG00250.1	73	37.9801	0	0
ATCG00260.1	72	37.3128	0	0
ATCG00270.1	1062	1018.12	6	100.456
ATCG00280.1	1422	1378.12	19	235.011
ATCG00290.1	92	52.0515	0	0
ATCG00300.1	189	145.119	1	117.462
ATCG00310.1	71	36.6528	0	0
ATCG00320.1	74	38.6548	0	0
ATCG00330.1	303	259.118	1	65.7845
ATCG00340.1	2205	2161.12	7	55.2129
ATCG00350.1	2253	2209.12	11	84.878
ATCG00360.1	381	337.118	0	0
ATCG00370.1	87	48.0962	0	0
ATCG00380.1	606	562.118	1	30.3245
ATCG00390.1	73	37.9801	0	0
ATCG00400.1	85	46.5633	0	0
ATCG00410.1	73	37.9801	0	0
ATCG00420.1	477	433.118	7	275.495
ATCG00430.1	678	634.118	16	430.102
ATCG00440.1	363	319.118	9	480.742
ATCG00450.1	74	38.6548	0	0
ATCG00460.1	73	37.9801	0	0
ATCG00470.1	399	355.118	27	1296.02
ATCG00480.1	1497	1453.12	47	551.338
ATCG00490.1	1440	1396.12	14	170.934
ATCG00500.1	1467	1423.12	0	0
ATCG00510.1	114	71.2511	0	0
ATCG00520.1	555	511.118	0	0
ATCG00530.1	690	646.118	0	0
ATCG00540.1	963	919.118	0	0
ATCG00550.1	123	79.7311	0	0
ATCG00560.1	117	74.0479	0	0
ATCG00570.1	120	76.8758	1	221.734
ATCG00580.1	252	208.118	0	0
ATCG00590.1	96	55.3369	0	0
ATCG00600.1	114	71.2511	0	0
ATCG00610.1	74	38.6548	0	0
ATCG00620.1	74	38.6548	0	0
ATCG00630.1	135	91.3627	3	559.724
ATCG00640.1	201	157.118	0	0
ATCG00650.1	306	262.118	1	65.0316
ATCG00660.1	354	310.118	0	0
ATCG00670.1	591	547.118	3	93.4677
ATCG00680.1	1527	1483.12	4	45.9733
ATCG00690.1	102	60.4515	0	0
ATCG00700.1	132	88.4292	1	192.764
ATCG00710.1	222	178.118	0	0
ATCG00720.1	648	604.118	0	0
ATCG00730.1	483	439.118	2	77.6372
ATCG00740.1	990	946.118	8	144.134
ATCG00750.1	417	373.118	0	0
ATCG00760.1	114	71.2511	1	239.238
ATCG00770.1	405	361.118	4	188.813
ATCG00780.1	369	325.118	17	891.31
ATCG00790.1	408	364.118	9	421.329
ATCG00800.1	657	613.118	14	389.229
ATCG00810.1	483	439.118	3	116.456
ATCG00820.1	279	235.118	8	579.996
ATCG00830.1	825	781.118	7	152.758
ATCG00840.1	282	238.118	1.5	107.379
ATCG00850.1	74	38.6548	0	0
ATCG00860.1	6885	6841.12	0	0
ATCG00870.1	234	190.118	0	0
ATCG00880.1	81	43.5844	0	0
ATCG00890.1	1170	1126.12	0.5	7.56846
ATCG00900.1	468	424.118	3	120.575
ATCG00905.1	258	214.118	4.5	358.245
ATCG00910.1	72	37.3128	0	0
ATCG00920.1	1491	1447.12	730	8598.85
ATCG00930.1	72	37.3128	0	0
ATCG00940.1	73	37.9801	0	0
ATCG00950.1	2810	2766.12	5377.5	33138.4
ATCG00960.1	103	61.3242	35	9728.76
ATCG00970.1	121	77.8247	3.5	766.606
ATCG00980.1	74	38.6548	0	0
ATCG00990.1	72	37.3128	0	0
ATCG01000.1	1032	988.118	2.08698	36.0023
ATCG01010.1	2241	2197.12	2	15.5166
ATCG01020.1	159	115.146	3	444.115
ATCG01030.1	80	42.8579	0	0
ATCG01040.1	987	943.118	0	0
ATCG01050.1	1521	1477.12	0	0
ATCG01060.1	246	202.118	0	0
ATCG01070.1	306	262.118	0	0
ATCG01080.1	531	487.118	0	0
ATCG01090.1	519	475.118	1	35.8773
ATCG01100.1	1083	1039.12	0	0
ATCG01110.1	1182	1138.12	0	0
ATCG01120.1	267	223.118	0	0
ATCG01130.1	5361	5317.12	4.91302	15.7505
ATCG01140.1	72	37.3128	0	0
ATCG01150.1	74	38.6548	0	0
ATCG01160.1	121	77.8247	3.5	766.606
ATCG01170.1	103	61.3242	35	9728.76
ATCG01180.1	2810	2766.12	5377.5	33138.4
ATCG01190.1	73	37.9801	0	0
ATCG01200.1	72	37.3128	0	0
ATCG01210.1	1491	1447.12	730	8598.85
ATCG01220.1	72	37.3128	0	0
ATCG01230.1	258	214.118	4.5	358.245
ATCG01240.1	468	424.118	3	120.575
ATCG01250.1	1170	1126.12	0.5	7.56846
ATCG01260.1	81	43.5844	0	0
ATCG01270.1	234	190.118	0	0
ATCG01280.1	6885	6841.12	0	0
ATCG01290.1	74	38.6548	0	0
ATCG01300.1	282	238.118	1.5	107.379
ATCG01310.1	825	781.118	7	152.758
AT5G01010.2	1619	1575.12	0	0
AT5G01015.1	516	472.118	0	0
AT5G01020.1	1799	1755.12	3	29.1364
AT5G01030.1	2728	2684.12	1	6.35067
AT5G01040.1	2052	2008.12	2	16.977
AT5G01050.1	1884	1840.12	0	0
AT5G01060.1	1500	1456.12	0	0
AT5G01070.2	621	577.118	0	0
AT5G01075.1	519	475.118	0	0
AT5G01080.1	555	511.118	0	0
AT5G01090.1	1495	1451.12	4	46.9871
AT5G01100.1	2364	2320.12	1	7.34702
AT5G01110.1	2608	2564.12	0	0
AT5G01120.1	1758	1714.12	0	0
AT5G01130.1	1686	1642.12	0	0
AT5G01140.1	1422	1378.12	0	0
AT5G01150.1	1674	1630.12	0	0
AT5G01160.1	1404	1360.12	0	0
AT5G01170.1	1975	1931.12	0	0
AT5G01175.1	528	484.118	0	0
AT5G01180.1	2055	2011.12	0	0
AT5G01185.1	4650	4606.12	0	0
AT5G01190.1	1821	1777.12	0	0
AT5G01200.1	1053	1009.12	0	0
AT5G01210.1	1802	1758.12	0	0
AT5G01215.1	1516	1472.12	2	23.1584
AT5G01220.1	1956	1912.12	4	35.6588
AT5G01225.1	405	361.118	0	0
AT5G01230.1	1245	1201.12	0	0
AT5G01240.1	2017	1973.12	4	34.5564
AT5G01250.1	1478	1434.12	0	0
AT5G01260.2	1560	1516.12	1	11.2432
AT5G01270.2	2790	2746.12	1	6.20729
AT5G01280.1	1557	1513.12	0	0
AT5G01290.1	2364	2320.12	1	7.34702
AT5G01300.1	726	682.118	0	0
AT5G01310.1	2739	2695.12	0	0
AT5G01320.1	1994	1950.12	0	0
AT5G01330.1	2053	2009.12	0	0
AT5G01335.1	5457	5413.12	0	0
AT5G01340.1	1274	1230.12	0	0
AT5G01350.1	547	503.118	0	0
AT5G01360.1	1482	1438.12	0	0
AT5G01365.1	73	37.9801	0	0
AT5G01370.1	1501	1457.12	0	0
AT5G01380.1	1267	1223.12	0	0
AT5G01390.1	1344	1300.12	0	0
AT5G01400.1	4657	4613.12	2	7.39021
AT5G01410.1	1297	1253.12	14	190.44
AT5G01420.1	1416	1372.12	0	0
AT5G01430.1	980	936.118	0	0
AT5G01440.1	914	870.118	0	0
AT5G01445.1	533	489.118	0	0
AT5G01450.1	1904	1860.12	0	0
AT5G01460.1	2108	2064.12	5	41.2911
AT5G01470.2	763	719.118	0	0
AT5G01480.1	1242	1198.12	0	0
AT5G01490.1	1472	1428.12	0	0
AT5G01500.1	1545	1501.12	0	0
AT5G01510.1	1861	1817.12	1	9.38076
AT5G01520.1	1306	1262.12	0	0
AT5G01530.1	1222	1178.12	322	4658.95
AT5G01540.1	2494	2450.12	0	0
AT5G01542.1	2215	2171.12	1	7.85123
AT5G01550.1	2067	2023.12	1	8.42559
AT5G01560.1	2393	2349.12	1	7.25632
AT5G01570.1	644	600.118	0	0
AT5G01580.1	702	658.118	0	0
AT5G01590.1	1965	1921.12	5	44.3647
AT5G01595.1	939	895.118	0	0
AT5G01600.1	1421	1377.12	4	49.512
AT5G01610.1	812	768.118	0	0
AT5G01620.3	1550	1506.12	0	0
AT5G01630.1	3734	3690.12	0	0
AT5G01640.1	843	799.118	2	42.6619
AT5G01650.2	667	623.118	0	0
AT5G01660.1	2244	2200.12	0	0
AT5G01670.2	1176	1132.12	1	15.0567
AT5G01680.1	2355	2311.12	0	0
AT5G01690.1	2238	2194.12	0	0
AT5G01700.2	1339	1295.12	0	0
AT5G01710.1	2123	2079.12	3	24.5959
AT5G01712.1	2123	2079.12	3	24.5959
AT5G01715.1	2170	2126.12	1	8.01741
AT5G01720.1	2485	2441.12	0	0
AT5G01730.1	3700	3656.12	0	0
AT5G01732.1	3426	3382.12	2	10.08
AT5G01734.1	153	109.168	0	0
AT5G01740.1	724	680.118	0	0
AT5G01747.1	149	105.19	0	0
AT5G01750.2	1140	1096.12	13.7228	213.406
AT5G01760.1	1847	1803.12	0	0
AT5G01770.1	4448	4404.12	1	3.87046
AT5G01780.2	1486	1442.12	0	0
AT5G01790.1	800	756.118	0	0
AT5G01800.1	1078	1034.12	0	0
AT5G01810.1	2102	2058.12	0.000698015	0.00578117
AT5G01820.1	1808	1764.12	0	0
