target_id	length	eff_length	est_counts	tpm
ATCG00010.1	73	37.9801	2	907.532
ATCG00020.1	1062	1018.12	31	524.749
ATCG00030.1	72	37.3128	0	0
ATCG00040.1	1581	1537.12	0	0
ATCG00050.1	240	196.118	0	0
ATCG00060.1	72	37.3128	0	0
ATCG00065.1	114	71.2511	0	0
ATCG00070.1	186	142.12	0	0
ATCG00080.1	111	68.4893	1	251.632
ATCG00090.1	88	48.8734	1	352.628
ATCG00100.1	72	37.3128	0	0
ATCG00110.1	72	37.3128	0	0
ATCG00120.1	1524	1480.12	1	11.6437
ATCG00130.1	555	511.118	0	0
ATCG00140.1	246	202.118	0	0
ATCG00150.1	750	706.118	0	0
ATCG00160.1	711	667.118	0	0
ATCG00170.1	4131	4087.12	1	4.21669
ATCG00180.1	2043	1999.12	2	17.2417
ATCG00190.1	3219	3175.12	0	0
ATCG00200.1	71	36.6528	0	0
ATCG00210.1	90	50.4487	0	0
ATCG00220.1	105	63.0857	6	1639.11
ATCG00230.1	74	38.6548	0	0
ATCG00240.1	84	45.8076	0	0
ATCG00250.1	73	37.9801	1	453.766
ATCG00260.1	72	37.3128	0	0
ATCG00270.1	1062	1018.12	8.57969	145.232
ATCG00280.1	1422	1378.12	8.42031	105.3
ATCG00290.1	92	52.0515	0	0
ATCG00300.1	189	145.119	1	118.758
ATCG00310.1	71	36.6528	0	0
ATCG00320.1	74	38.6548	0	0
ATCG00330.1	303	259.118	3	199.532
ATCG00340.1	2205	2161.12	9	71.7716
ATCG00350.1	2253	2209.12	6	46.8081
ATCG00360.1	381	337.118	0	0
ATCG00370.1	87	48.0962	0	0
ATCG00380.1	606	562.118	1	30.6592
ATCG00390.1	73	37.9801	1	453.766
ATCG00400.1	85	46.5633	0	0
ATCG00410.1	73	37.9801	0	0
ATCG00420.1	477	433.118	8	318.326
ATCG00430.1	678	634.118	18	489.205
ATCG00440.1	363	319.118	5	270.027
ATCG00450.1	74	38.6548	0	0
ATCG00460.1	73	37.9801	0	0
ATCG00470.1	399	355.118	26	1261.8
ATCG00480.1	1497	1453.12	51	604.864
ATCG00490.1	1440	1396.12	17	209.853
ATCG00500.1	1467	1423.12	0	0
ATCG00510.1	114	71.2511	0	0
ATCG00520.1	555	511.118	0	0
ATCG00530.1	690	646.118	1	26.6733
ATCG00540.1	963	919.118	1	18.7507
ATCG00550.1	123	79.7311	0	0
ATCG00560.1	117	74.0479	0	0
ATCG00570.1	120	76.8758	0	0
ATCG00580.1	252	208.118	0	0
ATCG00590.1	96	55.3369	0	0
ATCG00600.1	114	71.2511	0	0
ATCG00610.1	74	38.6548	0	0
ATCG00620.1	74	38.6548	0	0
ATCG00630.1	135	91.3627	2	377.268
ATCG00640.1	201	157.118	0	0
ATCG00650.1	306	262.118	0	0
ATCG00660.1	354	310.118	0	0
ATCG00670.1	591	547.118	0	0
ATCG00680.1	1527	1483.12	7	81.3412
ATCG00690.1	102	60.4515	0	0
ATCG00700.1	132	88.4292	0	0
ATCG00710.1	222	178.118	1	96.7565
ATCG00720.1	648	604.118	1	28.5277
ATCG00730.1	483	439.118	0	0
ATCG00740.1	990	946.118	4	72.8623
ATCG00750.1	417	373.118	3	138.568
ATCG00760.1	114	71.2511	0	0
ATCG00770.1	405	361.118	0	0
ATCG00780.1	369	325.118	8	424.07
ATCG00790.1	408	364.118	9	425.979
ATCG00800.1	657	613.118	5	140.545
ATCG00810.1	483	439.118	6	235.482
ATCG00820.1	279	235.118	2	146.599
ATCG00830.1	825	781.118	8.5	187.539
ATCG00840.1	282	238.118	1	72.3762
ATCG00850.1	74	38.6548	0	0
ATCG00860.1	6885	6841.12	0	0
ATCG00870.1	234	190.118	0	0
ATCG00880.1	81	43.5844	0	0
ATCG00890.1	1170	1126.12	0	0
ATCG00900.1	468	424.118	1	40.6351
ATCG00905.1	258	214.118	2	160.977
ATCG00910.1	72	37.3128	0	0
ATCG00920.1	1491	1447.12	694.465	8270.56
ATCG00930.1	72	37.3128	0	0
ATCG00940.1	73	37.9801	0	0
ATCG00950.1	2810	2766.12	5394.5	33610
ATCG00960.1	103	61.3242	33.5	9414.59
ATCG00970.1	121	77.8247	1	221.448
ATCG00980.1	74	38.6548	0	0
ATCG00990.1	72	37.3128	0	0
ATCG01000.1	1032	988.118	0	0
ATCG01010.1	2241	2197.12	3	23.5319
ATCG01020.1	159	115.146	5	748.361
ATCG01030.1	80	42.8579	0	0
ATCG01040.1	987	943.118	0	0
ATCG01050.1	1521	1477.12	2	23.3348
ATCG01060.1	246	202.118	0	0
ATCG01070.1	306	262.118	0	0
ATCG01080.1	531	487.118	0	0
ATCG01090.1	519	475.118	0	0
ATCG01100.1	1083	1039.12	0	0
ATCG01110.1	1182	1138.12	0	0
ATCG01120.1	267	223.118	0	0
ATCG01130.1	5361	5317.12	6	19.4475
ATCG01140.1	72	37.3128	0	0
ATCG01150.1	74	38.6548	0	0
ATCG01160.1	121	77.8247	1	221.448
ATCG01170.1	103	61.3242	33.5	9414.59
ATCG01180.1	2810	2766.12	5394.5	33610
ATCG01190.1	73	37.9801	0	0
ATCG01200.1	72	37.3128	0	0
ATCG01210.1	1491	1447.12	694.465	8270.56
ATCG01220.1	72	37.3128	0	0
ATCG01230.1	258	214.118	2	160.977
ATCG01240.1	468	424.118	1	40.6351
ATCG01250.1	1170	1126.12	0	0
ATCG01260.1	81	43.5844	0	0
ATCG01270.1	234	190.118	0	0
ATCG01280.1	6885	6841.12	0	0
ATCG01290.1	74	38.6548	0	0
ATCG01300.1	282	238.118	1	72.3762
ATCG01310.1	825	781.118	8.5	187.539
AT5G01010.2	1619	1575.12	0	0
AT5G01015.1	516	472.118	2	73.0075
AT5G01020.1	1799	1755.12	1	9.81933
AT5G01030.1	2728	2684.12	1	6.42077
AT5G01040.1	2052	2008.12	0	0
AT5G01050.1	1884	1840.12	0	0
AT5G01060.1	1500	1456.12	0	0
AT5G01070.2	621	577.118	0	0
AT5G01075.1	519	475.118	0	0
AT5G01080.1	555	511.118	0	0
AT5G01090.1	1495	1451.12	0	0
AT5G01100.1	2364	2320.12	1	7.42811
AT5G01110.1	2608	2564.12	0	0
AT5G01120.1	1758	1714.12	0	0
AT5G01130.1	1686	1642.12	0	0
AT5G01140.1	1422	1378.12	0	0
AT5G01150.1	1674	1630.12	0	0
AT5G01160.1	1404	1360.12	0	0
AT5G01170.1	1975	1931.12	0	0
AT5G01175.1	528	484.118	0	0
AT5G01180.1	2055	2011.12	0	0
AT5G01185.1	4650	4606.12	0	0
AT5G01190.1	1821	1777.12	0	0
AT5G01200.1	1053	1009.12	0	0
AT5G01210.1	1802	1758.12	2	19.6052
AT5G01215.1	1516	1472.12	0	0
AT5G01220.1	1956	1912.12	1	9.01309
AT5G01225.1	405	361.118	0	0
AT5G01230.1	1245	1201.12	0	0
AT5G01240.1	2017	1973.12	0	0
AT5G01250.1	1478	1434.12	0	0
AT5G01260.2	1560	1516.12	1	11.3672
AT5G01270.2	2790	2746.12	1	6.2758
AT5G01280.1	1557	1513.12	0	0
AT5G01290.1	2364	2320.12	1	7.42811
AT5G01300.1	726	682.118	0	0
AT5G01310.1	2739	2695.12	0	0
AT5G01320.1	1994	1950.12	0	0
AT5G01330.1	2053	2009.12	0	0
AT5G01335.1	5457	5413.12	0	0
AT5G01340.1	1274	1230.12	0	0
AT5G01350.1	547	503.118	2	68.5091
AT5G01360.1	1482	1438.12	0	0
AT5G01365.1	73	37.9801	0	0
AT5G01370.1	1501	1457.12	0	0
AT5G01380.1	1267	1223.12	0	0
AT5G01390.1	1344	1300.12	0	0
AT5G01400.1	4657	4613.12	2	7.47178
AT5G01410.1	1297	1253.12	9	123.777
AT5G01420.1	1416	1372.12	0	0
AT5G01430.1	980	936.118	0.0122088	0.224767
AT5G01440.1	914	870.118	0	0
AT5G01445.1	533	489.118	0	0
AT5G01450.1	1904	1860.12	0	0
AT5G01460.1	2108	2064.12	3	25.0481
AT5G01470.2	763	719.118	0	0
AT5G01480.1	1242	1198.12	0	0
AT5G01490.1	1472	1428.12	0	0
AT5G01500.1	1545	1501.12	0	0
AT5G01510.1	1861	1817.12	0	0
AT5G01520.1	1306	1262.12	0	0
AT5G01530.1	1222	1178.12	318	4651.86
AT5G01540.1	2494	2450.12	0	0
AT5G01542.1	2215	2171.12	0	0
AT5G01550.1	2067	2023.12	0	0
AT5G01560.1	2393	2349.12	0	0
AT5G01570.1	644	600.118	0	0
AT5G01580.1	702	658.118	0	0
AT5G01590.1	1965	1921.12	4	35.8835
AT5G01595.1	939	895.118	3.14291	60.5118
AT5G01600.1	1421	1377.12	2.85709	35.7554
AT5G01610.1	812	768.118	0	0
AT5G01620.3	1550	1506.12	1	11.4427
AT5G01630.1	3734	3690.12	0	0
AT5G01640.1	843	799.118	0	0
AT5G01650.2	667	623.118	0	0
AT5G01660.1	2244	2200.12	0	0
AT5G01670.2	1176	1132.12	0	0
AT5G01680.1	2355	2311.12	0	0
AT5G01690.1	2238	2194.12	0	0
AT5G01700.2	1339	1295.12	0	0
AT5G01710.1	2123	2079.12	2.5	20.7228
